다나가라	34	(다)-(나)-(가)-(라)
다가나라	31	(다)-(가)-(나)-(라)
나다가라	28	(나)-(다)-(가)-(라)
스스	26	구석구석 먼지를 스스로 찾아갑니다.
나가다라	25	(나)-(가)-(다)-(라)
가나다라	22	(가)-(나)-(다)-(라)
나가라다	19	(나)-(가)-(라)-(다)
가다나라	19	(가)-(다)-(나)-(라)
나라가다	18	(나)-(라)-(가)-(다)
밖으	17	(나) 계산을 하고 밖으로 나왔습니다.
집으	16	민수 씨는 공항으로 가는 버스를 탔습니다. 버스 안에서 가방을 열어 보았는데 여권이 없었습니다. 민수 씨는 급하게 버스에서 내려서 집으로 돌아갔습니다.
앞으	14	오늘 처음으로 한국어 수업에 갔습니다. 교실에 들어갔을 때 외국인 학생들이 아주 많아서 조금 놀랐습니다. 선생님께서 웃으면서 반갑게 인사를 해 주셨고 다른 학생들
그대	14	신선한 채소와 과일을 처음 산 그대로 오래 보관합니다.
인주	14	인주시 전통문화 체험 교실
깨끗	13	요즘 날씨가 갑자기 추워져서 감기에 걸린 사람이 많습니다. 감기에 걸리지 않으려면 밖에 나갔다 온 후에 손을 깨끗이 씻어야 합니다. 그리고 따뜻한 물을 자주 마시
가나라다	12	(가)-(나)-(라)-(다)
라나가다	11	(라)-(나)-(가)-(다)
일토	11	- 일시: 10월 15일(토) 10:00 ~ 16:00
가라나다	9	(가)-(라)-(나)-(다)
나라다	8	(나)-(라)-(다)-(가)
일까지	8	신청: 9월 8일까지 홈페이지에서 접수
리가	8	끓을 리가 없어서
드는	8	드는 셈 치고
라가나다	8	(라)-(가)-(나)-(다)
게다	8	(라) 게다가 빗길에서도 타이어의 접지력을 높여 교통사고를 예방하는 효과까지 얻는다.
완충재	8	(나) 한지 완충재는 공기층을 형성하여 외부 충격으로부터 물건을 안전하게 보호한다.
카멜레온	8	(가) 카멜레온의 피부 속에는 빛을 반사하는 미세한 나노 결정 격자가 층을 이루고 있다.
열기	8	(라) 이렇게 갇힌 열기 덕분에 북극곰은 차가운 얼음물에 뛰어들어도 얼지 않고 체온을 지킨다.
사막	8	(가) 건조한 사막에 사는 선인장은 물이 거의 없는 메마른 땅에서도 싱싱하게 자란다.
안쪽	8	(라) 완성된 둥지 안쪽에 부드러운 깃털을 깔아 알과 새끼를 따뜻하고 안전하게 키운다.
완충	8	(라) 이 정교한 완충 메커니즘은 자동차 충격 흡수 장치와 안전모 개발에 큰 영감을 주었다.
서서히	8	(가) 도로 위로 쏟아진 빗물이 정원으로 모여 서서히 지하수로 흡수되면서 침수 위험을 낮춘다.
유도하	8	밤에 잠자리에 누워 스마트폰을 보다가 잠을 설치는 사람들이 많다. 전자기기 화면에서 나오는 파란색 파장의 빛은 뇌로 하여금 낮으로 착각하게 만든다. 그 결과 수면
불안	8	사람들은 극심한 긴장이나 불안을 느낄 때 호흡이 얕고 빨라지는 경향이 있다. 이럴 때 아랫배를 부풀리며 숨을 깊게 들이마시고 천천히 내쉬는 복식 호흡을 하면 신체
잦은	8	소음 문제로 잦은 다툼을 벌이게
내려	8	산비탈에 자라는 나무와 풀의 뿌리는 흙 속 깊숙이 그물처럼 얽혀 토양을 단단히 붙잡아 주는 역할을 한다. 비가 많이 내릴 때 식물이 없는 민둥산은 빗물에 흙이 쉽
서식지	8	매년 봄과 가을이 되면 수만 킬로미터를 날아 번식지와 월동지를 오가는 철새들의 긴 여정이 펼쳐진다. 철새들은 이동 과정에서 다양한 지역에 머물며 농작물에 해를 끼
피톤치드	8	나무가 울창한 숲속에 들어서면 특유의 상쾌한 향기가 코끝을 스치며 머리가 맑아진다. 이는 식물이 병원균과 해충으로부터 자신을 지키기 위해 공기 중에 내뿜는 '피톤
부작용	8	도시 개발로 지표면이 아스팔트와 콘크리트로 뒤덮이면서 내린 비가 땅속으로 스며들지 못하고 있다. 빗물이 빠르게 바다로 흘러가 버리자 지하수 수위가 낮아지고 주변 
발광	8	깊은 바닷속 심해어나 반딧불이 같은 생물들은 스스로 빛을 만들어 어둠을 밝힌다. 인공 조명인 백열전구는 공급된 에너지의 대부분을 열로 낭비하고 극히 일부만을 빛으
대규모	8	경제적 개발을 위해 갯벌을 대규모로 매립해야 한다.
들었다	8	동네 사진관을 운영하는 청년 사진사는 형편이 어려워 영정 사진을 마련하지 못한 어르신들이 많다는 이야기를 들었다. 청년은 휴일을 반납하고 어르신들을 위한 무료 장
공부방	8	맞벌이 가정이나 조손 가정이 많은 동네에서 방과 후 혼자 시간을 보내는 아이들이 적지 않았다. 동네 대학생들이 뜻을 모아 마을 도서관 한편에 '야간 멘토링 공부방
없었다	8	자전거 도로는 원래 안전하여 보수가 필요 없었다.
있었지	8	시골 할머니 댁을 방문해 다락방을 정리하던 중 빛바랜 나무 상자 하나를 발견했다. 상자 안에는 내가 어릴 적 꼬물거리는 글씨로 적어 보냈던 어설픈 편지들이 차곡차
놋그릇	8	이사 준비를 하다가 찬장 깊은 곳에 보자기로 싸여 있던 외할머니의 놋그릇 세트를 꺼냈다. 놋그릇은 오랜 세월 공기에 닿아 거뭇하게 빛을 잃어 있었지만 묵직한 무게
꺼냈다	8	이사 준비를 하다가 찬장 깊은 곳에 보자기로 싸여 있던 외할머니의 놋그릇 세트를 꺼냈다. 놋그릇은 오랜 세월 공기에 닿아 거뭇하게 빛을 잃어 있었지만 묵직한 무게
글러브	8	다락방을 정리하다가 가죽이 해진 채 먼지를 뒤집어쓴 옛 야구 글러브를 발견했다. 초등학교 입학 선물로 삼촌이 건네주셨던 그 글러브를 처음 손에 끼었을 때, 가슴이
줄었다	8	물건 대금을 맡겨두는 결제 방식을 도입하자 거래 사기로 인한 손해가 크게 줄었다.
바닷물	8	수시로 바닷물에 뛰어들어 신진대사율을 급격히 끌어올려
끌어올려	8	수시로 바닷물에 뛰어들어 신진대사율을 급격히 끌어올려
얼음	8	가을이 깊어지고 기온이 영하로 떨어지면 식물의 세포 내부 수분이 얼어붙어 얼음 결정이 세포막을 찢는 치명적인 동해를 입을 수 있다. 그러나 다년생 나무들은 기온 
상대방	8	서로 다른 냄새를 뿜어내어 상대방의 체온 변화를 감지함으로써
심리학	8	협상이나 가격 제시 상황에서 처음에 제시된 숫자는 기준점 역할을 하여 이후의 판단에 큰 영향을 미친다. 이를 심리학에서는 '앵커링 효과(닻 내리기 효과)'라고 부
무거운	7	무거운
이용하	7	요즘 공공 자전거를 이용하는 사람이 아주 많아졌습니다. 값이 싸고 어디에서나 빌릴 수 있어서 편리합니다. 하지만 다 타고 나서 정해진 자리에 놓지 않는 사람이 있
나다라	7	(나)-(다)-(라)-(가)
동물병원	7	(가) 동물병원에서 건강 검사를 받고 주사도 맞았습니다.
봉사자	7	주말 동물보호센터 봉사자 모집
참여할	7	돈을 내지 않고 참여할 수 있습니다.
쓰지	7	쓰지만
손으	7	한국에서는 사람을 만나면 고개를 숙여 인사합니다. 자기보다 나이가 많은 사람에게는 고개를 더 깊이 숙입니다. 악수를 할 때도 두 손으로 하는 사람이 많습니다. 이
음악회	7	음악회 표를 같이 사자고 말하려고
내리	7	지하철을 탈 때 서로를 위해 지키는 예절이 있습니다. 타는 곳에서는 내리는 사람이 다 내린 뒤에 차례대로 타야 합니다. 그리고 열차 안에서 전화를 할 때는 (  
번에	7	목이 마를 때 한 번에 많이 마셔야 합니다.
컴퓨터	7	주말 컴퓨터 교실
뜨거운	7	뜨거운 음료는 따뜻하게, 차가운 음료는 시원하게 유지해 드립니다.
세상	7	깨끗하고 선명한 세상을 마주하세요.
넣어	7	넓은 어깨끈으로 많은 짐을 넣어도 피로가 덜합니다.
묻은	7	부드럽고 풍성한 거품으로 손에 묻은 먼지를 씻어 냅니다.
허리	7	오래 앉아 일해도 허리를 탄탄하게 받쳐 줍니다.
차단하	7	주변 소음을 완벽하게 차단하여 깊은 몰입감을 선사합니다.
살균	7	고온 살균 건조로 세균 걱정 없이 식기 관리를 끝내세요.
조리	7	해동부터 간편식 조리까지 버튼 몇 번으로 식사를 준비하세요.
감지기	7	주차 감지기
